company_name,location_info,last_visit,days_ago,website_visits_score,activity_level
KTI Installatietechniek,"Amsterdam, Netherlands | Wholesale Building Materials",1 maand geleden,30,3,ROOD
Aragorn ICT Dienstverlening,"Eindhoven, Netherlands | IT Services and IT Consulting",14 dagen geleden,14,6,ORANJE
Jacobs Elektro Group,"Amsterdam, Netherlands | Construction",9 maanden geleden,270,1,ROOD
(Cambridge Innovation Center),"Rotterdam, Netherlands | Real Estate",8 maanden geleden,240,1,ROOD
Klomp,"Amsterdam, Netherlands | Building Structure and Exterior Contractors",1 maand geleden,30,3,ROOD
Van den Broek Systemen,"Almere Stad, Netherlands | Construction",3 maanden geleden,90,1,ROOD
SAP,"Amsterdam, Netherlands | IT Services and IT Consulting",7 maanden geleden,210,1,ROOD
OBI automatisering,"Geldrop, Netherlands | Computer Networking Products",9 maanden geleden,270,1,ROOD
9altitudes,"Kortrijk, Belgium | IT Services and IT Consulting",10 maanden geleden,300,1,ROOD
Technisch Buro T.O.M.,"Rotterdam, Netherlands | Construction",7 dagen geleden,7,8,GROEN
Funk-e,"Rotterdam, Netherlands | Public Relations and Communications Services",3 maanden geleden,90,1,ROOD
THE FWD CO.,"Venlo, Netherlands",1 jaar geleden,999,1,ROOD
I-care Group,"Mons, Belgium | Industrial Machinery Manufacturing",10 maanden geleden,300,1,ROOD
Van Gerwen Installaties,"Goirle, Netherlands | Appliances, Electrical, and Electronics Manufacturing",7 dagen geleden,7,8,GROEN
WL Techniek,"Rotterdam, Netherlands | Construction",8 maanden geleden,240,1,ROOD
Visser ATR,"Eindhoven, Netherlands | Environmental Services",7 maanden geleden,210,1,ROOD
Van de Klok,"Nijmegen, Netherlands | Construction",6 maanden geleden,180,1,ROOD
MD Service B.V.,"Moordrecht, Netherlands | Construction",1 maand geleden,30,3,ROOD
VMB security & solutions,"Voorburg, Netherlands | Security and Investigations",1 uur geleden,0,10,GROEN
DO & Co. München,"Garching bei München, Germany | Events Services",2 maanden geleden,60,1,ROOD
Spot ICT Oplossingen,"Purmerend, Netherlands | Telecommunications",2 maanden geleden,60,1,ROOD
Damen,"Gorinchem, Netherlands | Shipbuilding",11 maanden geleden,330,1,ROOD
Bruxelles-Propreté | Net Brussel,"Brussels, Belgium | Government Administration",2 maanden geleden,60,1,ROOD
BigBrother International,"Ede, Netherlands | Security and Investigations",5 maanden geleden,150,1,ROOD
Technisch Installatiebedrijf Tibo-Veen,"Veen, Netherlands | Appliances, Electrical, and Electronics Manufacturing",11 maanden geleden,330,1,ROOD
Prodware,"Zaltbommel, Netherlands | IT Services and IT Consulting",1 jaar geleden,999,1,ROOD
HighQ,"Woerden, Netherlands | Staffing and Recruiting",11 maanden geleden,330,1,ROOD
Van Dorp,"Zoetermeer, Netherlands | Construction",28 dagen geleden,28,3,ROOD
Easyfairs,"Gorinchem, Netherlands | Events Services",9 maanden geleden,270,1,ROOD
Bitcom,"Dordrecht, Netherlands | IT Services and IT Consulting",7 maanden geleden,210,1,ROOD
Voskamp Groep B.V.,"Almelo, Netherlands | Wholesale Building Materials",21 dagen geleden,21,4,ORANJE
Livingprojects,"Breda, Netherlands | Architecture and Planning",4 maanden geleden,120,1,ROOD
Klimaatservice Holland B.V.,"Hardinxveld-Giessendam, Netherlands | Construction",4 maanden geleden,120,1,ROOD
Van den Pol Elektrotechniek,"Montfoort, Netherlands | Appliances, Electrical, and Electronics Manufacturing",4 maanden geleden,120,1,ROOD
RIVM National Institute for Public Health and the Environment,"Bilthoven, Netherlands | Wellness and Fitness Services",1 maand geleden,30,3,ROOD
Media Markt - Saturn Nederland,"Rotterdam, Netherlands | Advertising Services",12 dagen geleden,12,6,ORANJE
Bisharp,"Amsterdam, Netherlands | Business Intelligence Platforms",1 jaar geleden,999,1,ROOD
Maas-Intersales,"Eindhoven, Netherlands | Food and Beverage Manufacturing",8 maanden geleden,240,1,ROOD
Future Growth,"Rotterdam, Netherlands | Advertising Services",8 maanden geleden,240,1,ROOD
Notifica,"Hilversum, Netherlands | Information Services",3 dagen geleden,3,8,GROEN
Notifica,"Hilversum, Netherlands | Information Services",32 minuten geleden,0,10,GROEN
Jules Goossens Bliksembeveiliging,"'s-Hertogenbosch, Netherlands | Engineering Services",1 jaar geleden,999,1,ROOD
DMN-WESTINGHOUSE,"Noordwijkerhout, Netherlands | Machinery Manufacturing",1 jaar geleden,999,1,ROOD
BVIntersell,"Amsterdam, Netherlands | Construction",11 maanden geleden,330,1,ROOD
Van de Velde Installatiegroep,"Amsterdam, Netherlands | Construction",3 maanden geleden,90,1,ROOD
MediaService Maastricht,"Maastricht, Netherlands | IT Services and IT Consulting",3 maanden geleden,90,1,ROOD
Carool Installatiebedrijf,"Utrecht, Netherlands | Construction",2 maanden geleden,60,1,ROOD
First Information & Technology Solutions,"Durham, United States of America | Software Development",2 maanden geleden,60,1,ROOD
Seven-Winds,"Veenendaal, Netherlands | IT Services and IT Consulting",28 dagen geleden,28,3,ROOD
Lasaulec BV,"Heerenveen, Netherlands | Wholesale",8 maanden geleden,240,1,ROOD
Instacom,"Zaandam, Netherlands",2 dagen geleden,2,10,GROEN
M&O Techniek BV,"Wormer, Netherlands | Renewable Energy Semiconductor Manufacturing",11 maanden geleden,330,1,ROOD
Staal Dekker en Ronday Electrotechniek,"Amsterdam, Netherlands",7 dagen geleden,7,8,GROEN
4PS,"João Neiva, Brazil | IT Services and IT Consulting",11 maanden geleden,330,1,ROOD
Randstad,"Diemen, Netherlands | Staffing and Recruiting",11 maanden geleden,330,1,ROOD
Stoneridge,"Solna, Sweden | Truck Transportation",10 maanden geleden,300,1,ROOD
Braanker Logistics,"Alblasserdam, Netherlands | Transportation, Logistics, Supply Chain and Storage",5 maanden geleden,150,1,ROOD
Bonheur Horeca Groep,"Tilburg, Netherlands | Hospitality",9 maanden geleden,270,1,ROOD
Eyeworks Switzerland GmbH,"Amsterdam, Netherlands | Media Production",9 maanden geleden,270,1,ROOD
FutureRange,"Co. Dublin, Ireland | IT Services and IT Consulting",7 maanden geleden,210,1,ROOD
Hatenboer-Water,"Schiedam, Netherlands | Maritime Transportation",6 maanden geleden,180,1,ROOD
Gemeenschappelijke regeling DCMR Milieudienst Rijnmond,"Schiedam, Netherlands | Environmental Services",6 maanden geleden,180,1,ROOD
ECI Software Solutions,"Leusden, Netherlands | Software Development",4 maanden geleden,120,1,ROOD
Waterschap Drents Overijsselse Delta,"Zwolle, Netherlands | Civic and Social Organizations",4 maanden geleden,120,1,ROOD
Gemeenschappelijke Regeling Omgevingsdienst Midden- en West-Brabant,"Tilburg, Netherlands | Government Administration",4 maanden geleden,120,1,ROOD
Xantion,"Ede, Netherlands | Computer and Network Security",17 dagen geleden,17,4,ORANJE
vzw Jong,"Ghent, Belgium | Civic and Social Organizations",3 maanden geleden,90,1,ROOD
